Filename:	C:\Users\A2025\Documents\Service_1216\X_Band\HS\CH3205\2nd Batch\VoACAC.par	 Date: 04/16/2025   Time: 01:31

X [G]	Intensity
1405.959961	950.581055
1407.425537	739.581055
1408.891113	498.581055
1410.356567	821.581055
1411.822144	330.581055
1413.287720	611.581055
1414.753296	608.581055
1416.218872	557.581055
1417.684448	477.581055
1419.150024	637.581055
1420.615479	453.581055
1422.081055	646.581055
1423.546631	544.581055
1425.012207	699.581055
1426.477783	409.581055
1427.943359	393.581055
1429.408936	624.581055
1430.874390	480.581055
1432.339966	697.581055
1433.805542	593.581055
1435.271118	578.581055
1436.736694	490.581055
1438.202271	743.581055
1439.667847	463.581055
1441.133423	546.581055
1442.598877	459.581055
1444.064453	545.581055
1445.530029	747.581055
1446.995605	422.581055
1448.461182	352.581055
1449.926758	550.581055
1451.392334	715.581055
1452.857788	605.581055
1454.323364	454.581055
1455.788940	187.581055
1457.254517	688.581055
1458.720093	650.581055
1460.185669	532.581055
1461.651245	403.581055
1463.116699	456.581055
1464.582275	421.581055
1466.047852	491.581055
1467.513428	570.581055
1468.979004	571.581055
1470.444580	318.581055
1471.910156	411.581055
1473.375732	439.581055
1474.841187	778.581055
1476.306763	423.581055
1477.772339	370.581055
1479.237915	569.581055
1480.703491	461.581055
1482.169067	378.581055
1483.634644	703.581055
1485.100098	619.581055
1486.565674	791.581055
1488.031250	585.581055
1489.496826	671.581055
1490.962402	483.581055
1492.427979	788.581055
1493.893555	774.581055
1495.359009	291.581055
1496.824585	655.581055
1498.290161	489.581055
1499.755737	276.581055
1501.221313	178.581055
1502.686890	267.581055
1504.152466	581.581055
1505.617920	442.581055
1507.083496	451.581055
1508.549072	423.581055
1510.014648	534.581055
1511.480225	344.581055
1512.945801	428.581055
1514.411377	539.581055
1515.876953	564.581055
1517.342407	181.581055
1518.807983	619.581055
1520.273560	320.581055
1521.739136	28.581055
1523.204712	429.581055
1524.670288	610.581055
1526.135864	434.581055
1527.601318	444.581055
1529.066895	360.581055
1530.532471	113.581055
1531.998047	351.581055
1533.463623	557.581055
1534.929199	170.581055
1536.394775	483.581055
1537.860229	347.581055
1539.325806	509.581055
1540.791382	385.581055
1542.256958	385.581055
1543.722534	489.581055
1545.188110	244.581055
1546.653687	553.581055
1548.119141	498.581055
1549.584717	316.581055
1551.050293	695.581055
1552.515869	561.581055
1553.981445	295.581055
1555.447021	427.581055
1556.912598	402.581055
1558.378174	406.581055
1559.843628	477.581055
1561.309204	536.581055
1562.774780	147.581055
1564.240356	241.581055
1565.705933	279.581055
1567.171509	627.581055
1568.637085	280.581055
1570.102539	181.581055
1571.568115	324.581055
1573.033691	404.581055
1574.499268	219.581055
1575.964844	509.581055
1577.430420	290.581055
1578.895996	422.581055
