Potential,Current,Potential_vs_Fc
0.541,1.368e-06,-0.08799999999999997
0.542,1.379e-06,-0.08699999999999997
0.543,1.391e-06,-0.08599999999999997
0.544,1.403e-06,-0.08499999999999996
0.545,1.409e-06,-0.08399999999999996
0.546,1.419e-06,-0.08299999999999996
0.547,1.428e-06,-0.08199999999999996
0.548,1.439e-06,-0.08099999999999996
0.549,1.445e-06,-0.07999999999999996
0.55,1.456e-06,-0.07899999999999996
0.551,1.465e-06,-0.07799999999999996
0.552,1.472e-06,-0.07699999999999996
0.553,1.48e-06,-0.07599999999999996
0.554,1.49e-06,-0.07499999999999996
0.555,1.497e-06,-0.07399999999999995
0.556,1.507e-06,-0.07299999999999995
0.557,1.515e-06,-0.07199999999999995
0.558,1.524e-06,-0.07099999999999995
0.559,1.533e-06,-0.06999999999999995
0.56,1.544e-06,-0.06899999999999995
0.561,1.55e-06,-0.06799999999999995
0.562,1.562e-06,-0.06699999999999995
0.563,1.571e-06,-0.06600000000000006
0.564,1.584e-06,-0.06500000000000006
0.565,1.588e-06,-0.06400000000000006
0.566,1.601e-06,-0.06300000000000006
0.567,1.609e-06,-0.062000000000000055
0.568,1.619e-06,-0.061000000000000054
0.569,1.626e-06,-0.06000000000000005
0.57,1.638e-06,-0.05900000000000005
0.571,1.646e-06,-0.05800000000000005
0.572,1.657e-06,-0.05700000000000005
0.573,1.663e-06,-0.05600000000000005
0.574,1.675e-06,-0.05500000000000005
0.575,1.683e-06,-0.05400000000000005
0.576,1.695e-06,-0.05300000000000005
0.577,1.7e-06,-0.052000000000000046
0.578,1.71e-06,-0.051000000000000045
0.579,1.719e-06,-0.050000000000000044
0.58,1.731e-06,-0.049000000000000044
0.581,1.736e-06,-0.04800000000000004
0.582,1.747e-06,-0.04700000000000004
0.583,1.754e-06,-0.04600000000000004
0.584,1.764e-06,-0.04500000000000004
0.585,1.771e-06,-0.04400000000000004
0.586,1.782e-06,-0.04300000000000004
0.587,1.79e-06,-0.04200000000000004
0.588,1.8e-06,-0.041000000000000036
0.589,1.809e-06,-0.040000000000000036
0.59,1.819e-06,-0.039000000000000035
0.591,1.827e-06,-0.038000000000000034
0.592,1.837e-06,-0.03700000000000003
0.593,1.844e-06,-0.03600000000000003
0.594,1.854e-06,-0.03500000000000003
0.595,1.862e-06,-0.03400000000000003
0.596,1.874e-06,-0.03300000000000003
0.597,1.881e-06,-0.03200000000000003
0.598,1.891e-06,-0.031000000000000028
0.599,1.899e-06,-0.030000000000000027
0.6,1.909e-06,-0.029000000000000026
0.601,1.917e-06,-0.028000000000000025
0.602,1.928e-06,-0.027000000000000024
0.603,1.934e-06,-0.026000000000000023
0.604,1.944e-06,-0.025000000000000022
0.605,1.95e-06,-0.02400000000000002
0.606,1.962e-06,-0.02300000000000002
0.607,1.969e-06,-0.02200000000000002
0.608,1.981e-06,-0.02100000000000002
0.609,1.986e-06,-0.020000000000000018
0.61,1.996e-06,-0.019000000000000017
0.611,2.005e-06,-0.018000000000000016
0.612,2.014e-06,-0.017000000000000015
0.613,2.021e-06,-0.016000000000000014
0.614,2.032e-06,-0.015000000000000013
0.615,2.042e-06,-0.014000000000000012
0.616,2.05e-06,-0.013000000000000012
0.617,2.056e-06,-0.01200000000000001
0.618,2.067e-06,-0.01100000000000001
0.619,2.073e-06,-0.010000000000000009
0.62,2.084e-06,-0.009000000000000008
0.621,2.089e-06,-0.008000000000000007
0.622,2.101e-06,-0.007000000000000006
0.623,2.108e-06,-0.006000000000000005
0.624,2.116e-06,-0.0050000000000000044
0.625,2.125e-06,-0.0040000000000000036
0.626,2.133e-06,-0.0030000000000000027
0.627,2.142e-06,-0.0020000000000000018
0.628,2.153e-06,-0.0010000000000000009
0.629,2.157e-06,0.0
0.63,2.168e-06,0.0010000000000000009
0.631,2.176e-06,0.0020000000000000018
0.632,2.183e-06,0.0030000000000000027
0.633,2.191e-06,0.0040000000000000036
0.634,2.201e-06,0.0050000000000000044
0.635,2.207e-06,0.006000000000000005
0.636,2.217e-06,0.007000000000000006
0.637,2.222e-06,0.008000000000000007
0.638,2.232e-06,0.009000000000000008
0.639,2.24e-06,0.010000000000000009
0.64,2.25e-06,0.01100000000000001
0.641,2.257e-06,0.01200000000000001
0.642,2.264e-06,0.013000000000000012
0.643,2.272e-06,0.014000000000000012
0.644,2.282e-06,0.015000000000000013
0.645,2.288e-06,0.016000000000000014
0.646,2.298e-06,0.017000000000000015
0.647,2.304e-06,0.018000000000000016
0.648,2.312e-06,0.019000000000000017
0.649,2.32e-06,0.020000000000000018
0.65,2.329e-06,0.02100000000000002
0.651,2.334e-06,0.02200000000000002
0.652,2.344e-06,0.02300000000000002
0.653,2.35e-06,0.02400000000000002
0.654,2.358e-06,0.025000000000000022
0.655,2.365e-06,0.026000000000000023
0.656,2.374e-06,0.027000000000000024
0.657,2.379e-06,0.028000000000000025
0.658,2.383e-06,0.029000000000000026
0.659,2.395e-06,0.030000000000000027
0.66,2.405e-06,0.031000000000000028
0.661,2.41e-06,0.03200000000000003
0.662,2.418e-06,0.03300000000000003
0.663,2.426e-06,0.03400000000000003
0.664,2.434e-06,0.03500000000000003
0.665,2.441e-06,0.03600000000000003
0.666,2.451e-06,0.03700000000000003
0.667,2.455e-06,0.038000000000000034
0.668,2.463e-06,0.039000000000000035
0.669,2.47e-06,0.040000000000000036
0.67,2.477e-06,0.041000000000000036
0.671,2.486e-06,0.04200000000000004
0.672,2.493e-06,0.04300000000000004
0.673,2.499e-06,0.04400000000000004
0.674,2.505e-06,0.04500000000000004
0.675,2.512e-06,0.04600000000000004
0.676,2.52e-06,0.04700000000000004
0.677,2.525e-06,0.04800000000000004
0.678,2.534e-06,0.049000000000000044
0.679,2.541e-06,0.050000000000000044
0.68,2.548e-06,0.051000000000000045
0.681,2.553e-06,0.052000000000000046
0.682,2.561e-06,0.05300000000000005
0.683,2.568e-06,0.05400000000000005
0.684,2.576e-06,0.05500000000000005
0.685,2.582e-06,0.05600000000000005
0.686,2.589e-06,0.05700000000000005
0.687,2.595e-06,0.05800000000000005
0.688,2.604e-06,0.05899999999999994
0.689,2.609e-06,0.05999999999999994
0.69,2.616e-06,0.06099999999999994
0.691,2.623e-06,0.061999999999999944
0.692,2.631e-06,0.06299999999999994
0.693,2.636e-06,0.06399999999999995
0.694,2.644e-06,0.06499999999999995
0.695,2.65e-06,0.06599999999999995
0.696,2.656e-06,0.06699999999999995
0.697,2.662e-06,0.06799999999999995
0.698,2.671e-06,0.06899999999999995
0.699,2.675e-06,0.06999999999999995
0.7,2.683e-06,0.07099999999999995
0.701,2.69e-06,0.07199999999999995
0.702,2.697e-06,0.07299999999999995
0.703,2.704e-06,0.07399999999999995
0.704,2.712e-06,0.07499999999999996
0.705,2.72e-06,0.07599999999999996
0.706,2.724e-06,0.07699999999999996
0.707,2.731e-06,0.07799999999999996
0.708,2.738e-06,0.07899999999999996
0.709,2.743e-06,0.07999999999999996
0.71,2.752e-06,0.08099999999999996
0.711,2.758e-06,0.08199999999999996
0.712,2.765e-06,0.08299999999999996
0.713,2.772e-06,0.08399999999999996
0.714,2.778e-06,0.08499999999999996
0.715,2.785e-06,0.08599999999999997
0.716,2.792e-06,0.08699999999999997
0.717,2.8e-06,0.08799999999999997
0.718,2.806e-06,0.08899999999999997
0.719,2.814e-06,0.08999999999999997
0.72,2.821e-06,0.09099999999999997
0.721,2.827e-06,0.09199999999999997
0.722,2.833e-06,0.09299999999999997
0.723,2.841e-06,0.09399999999999997
0.724,2.849e-06,0.09499999999999997
0.725,2.853e-06,0.09599999999999997
0.726,2.862e-06,0.09699999999999998
0.727,2.869e-06,0.09799999999999998
0.728,2.876e-06,0.09899999999999998
0.729,2.884e-06,0.09999999999999998
0.73,2.892e-06,0.10099999999999998
0.731,2.897e-06,0.10199999999999998
0.732,2.903e-06,0.10299999999999998
0.733,2.91e-06,0.10399999999999998
0.734,2.917e-06,0.10499999999999998
0.735,2.924e-06,0.10599999999999998
0.736,2.932e-06,0.10699999999999998
0.737,2.937e-06,0.10799999999999998
0.738,2.943e-06,0.10899999999999999
0.739,2.951e-06,0.10999999999999999
0.74,2.959e-06,0.11099999999999999
0.741,2.966e-06,0.11199999999999999
0.742,2.971e-06,0.11299999999999999
0.743,2.982e-06,0.11399999999999999
0.744,2.987e-06,0.11499999999999999
0.745,2.995e-06,0.11599999999999999
