Potential,Current,Potential_vs_Fc
-0.589,-7.64e-06,-1.218
-0.59,-7.661e-06,-1.2189999999999999
-0.591,-7.678e-06,-1.22
-0.592,-7.7e-06,-1.221
-0.593,-7.715e-06,-1.222
-0.594,-7.734e-06,-1.2229999999999999
-0.595,-7.75e-06,-1.224
-0.596,-7.771e-06,-1.225
-0.597,-7.785e-06,-1.226
-0.598,-7.802e-06,-1.2269999999999999
-0.599,-7.814e-06,-1.228
-0.6,-7.834e-06,-1.229
-0.601,-7.846e-06,-1.23
-0.602,-7.863e-06,-1.2309999999999999
-0.603,-7.874e-06,-1.232
-0.604,-7.892e-06,-1.233
-0.605,-7.902e-06,-1.234
-0.606,-7.918e-06,-1.2349999999999999
-0.607,-7.927e-06,-1.236
-0.608,-7.945e-06,-1.237
-0.609,-7.954e-06,-1.238
-0.61,-7.968e-06,-1.2389999999999999
-0.611,-7.977e-06,-1.24
-0.612,-7.991e-06,-1.241
-0.613,-7.999e-06,-1.242
-0.614,-8.015e-06,-1.2429999999999999
-0.615,-8.024e-06,-1.244
-0.616,-8.034e-06,-1.245
-0.617,-8.041e-06,-1.246
-0.618,-8.053e-06,-1.2469999999999999
-0.619,-8.058e-06,-1.248
-0.62,-8.072e-06,-1.249
-0.621,-8.077e-06,-1.25
-0.622,-8.087e-06,-1.251
-0.623,-8.091e-06,-1.252
-0.624,-8.101e-06,-1.2530000000000001
-0.625,-8.107e-06,-1.254
-0.626,-8.115e-06,-1.255
-0.627,-8.12e-06,-1.256
-0.628,-8.129e-06,-1.2570000000000001
-0.629,-8.133e-06,-1.258
-0.63,-8.141e-06,-1.259
-0.631,-8.144e-06,-1.26
-0.632,-8.15e-06,-1.2610000000000001
-0.633,-8.154e-06,-1.262
-0.634,-8.161e-06,-1.263
-0.635,-8.162e-06,-1.264
-0.636,-8.169e-06,-1.2650000000000001
-0.637,-8.172e-06,-1.266
-0.638,-8.178e-06,-1.267
-0.639,-8.178e-06,-1.268
-0.64,-8.185e-06,-1.2690000000000001
-0.641,-8.185e-06,-1.27
-0.642,-8.19e-06,-1.271
-0.643,-8.191e-06,-1.272
-0.644,-8.195e-06,-1.2730000000000001
-0.645,-8.195e-06,-1.274
-0.646,-8.2e-06,-1.275
-0.647,-8.199e-06,-1.276
-0.648,-8.203e-06,-1.2770000000000001
-0.649,-8.201e-06,-1.278
-0.65,-8.204e-06,-1.279
-0.651,-8.204e-06,-1.28
-0.652,-8.208e-06,-1.2810000000000001
-0.653,-8.207e-06,-1.282
-0.654,-8.211e-06,-1.283
-0.655,-8.207e-06,-1.284
-0.656,-8.212e-06,-1.2850000000000001
-0.657,-8.208e-06,-1.286
-0.658,-8.211e-06,-1.287
-0.659,-8.209e-06,-1.288
-0.66,-8.212e-06,-1.2890000000000001
-0.661,-8.208e-06,-1.29
-0.662,-8.21e-06,-1.291
-0.663,-8.209e-06,-1.292
-0.664,-8.21e-06,-1.2930000000000001
-0.665,-8.208e-06,-1.294
-0.666,-8.211e-06,-1.295
-0.667,-8.207e-06,-1.296
-0.668,-8.21e-06,-1.2970000000000002
-0.669,-8.205e-06,-1.298
-0.67,-8.207e-06,-1.299
-0.671,-8.204e-06,-1.3
-0.672,-8.208e-06,-1.3010000000000002
-0.673,-8.203e-06,-1.302
-0.674,-8.202e-06,-1.303
-0.675,-8.199e-06,-1.304
-0.676,-8.201e-06,-1.3050000000000002
-0.677,-8.197e-06,-1.306
-0.678,-8.199e-06,-1.307
-0.679,-8.194e-06,-1.308
-0.68,-8.196e-06,-1.3090000000000002
-0.681,-8.191e-06,-1.31
-0.682,-8.192e-06,-1.311
-0.683,-8.189e-06,-1.312
-0.684,-8.19e-06,-1.3130000000000002
-0.685,-8.186e-06,-1.314
-0.686,-8.187e-06,-1.315
-0.687,-8.182e-06,-1.316
-0.688,-8.182e-06,-1.317
-0.689,-8.18e-06,-1.318
-0.69,-8.18e-06,-1.319
-0.691,-8.178e-06,-1.3199999999999998
-0.692,-8.178e-06,-1.321
-0.693,-8.172e-06,-1.322
-0.694,-8.174e-06,-1.323
-0.695,-8.17e-06,-1.3239999999999998
-0.696,-8.172e-06,-1.325
-0.697,-8.168e-06,-1.326
-0.698,-8.169e-06,-1.327
-0.699,-8.165e-06,-1.3279999999999998
-0.7,-8.166e-06,-1.329
-0.701,-8.161e-06,-1.33
-0.702,-8.16e-06,-1.331
-0.703,-8.157e-06,-1.3319999999999999
-0.704,-8.159e-06,-1.333
-0.705,-8.156e-06,-1.334
-0.706,-8.156e-06,-1.335
-0.707,-8.153e-06,-1.3359999999999999
-0.708,-8.154e-06,-1.337
-0.709,-8.15e-06,-1.338
-0.71,-8.152e-06,-1.339
